date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,tpm,cpm,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
12/31/2019,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,,0,0,0,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05
1/1/2020,0,0,0,0,0,0,0,0,5,5,0,0,NA,NA,people tested,0,0.000005,0,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05
1/2/2020,0,0,0,0,0,0,0,0,16,21,0,0,NA,NA,people tested,0,0.000016,0,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05
1/3/2020,0,0,0,0,0,0,0,0,18,39,0,0,NA,NA,people tested,0,0.000018,0,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05
1/4/2020,0,0,0,0,0,0,0,0,6,45,0,0,NA,NA,people tested,0,0.000006,0,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05
1/5/2020,0,0,0,0,0,0,0,0,14,59,0,0,NA,NA,people tested,0,0.000014,0,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05
1/6/2020,0,0,0,0,0,0,0,0,28,87,0.001,0,NA,NA,people tested,0,0.000028,0,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05
1/7/2020,0,0,0,0,0,0,0,0,28,115,0.001,0,NA,NA,people tested,0,0.000028,0,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05
1/8/2020,0,0,0,0,0,0,0,0,15,130,0.001,0,18,0,people tested,0,0.000015,0,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05
1/9/2020,0,0,0,0,0,0,0,0,44,174,0.001,0,22,0,people tested,0,0.000044,0,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05
1/10/2020,0,0,0,0,0,0,0,0,39,213,0.002,0,25,0,people tested,0,0.000039,0,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05
1/11/2020,0,0,0,0,0,0,0,0,5,218,0.002,0,25,0,people tested,0,0.000005,0,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05
1/12/2020,0,0,0,0,0,0,0,0,20,238,0.002,0,26,0,people tested,0,0.00002,0,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05
1/13/2020,0,0,0,0,0,0,0,0,37,275,0.002,0,27,0,people tested,0,0.000037,0,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05
1/14/2020,0,0,0,0,0,0,0,0,51,326,0.003,0,30,0,people tested,0,0.000051,0,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05
